date,power_consumption
2023-01-01,1500.5
2023-01-02,1520.3
2023-01-03,1480.7
2023-01-04,1550.2
2023-01-05,1530.8
2023-01-06,1450.1
2023-01-07,1400.9
2023-01-08,1420.4
2023-01-09,1580.6
2023-01-10,1600.2
2023-01-11,1620.7
2023-01-12,1650.3
2023-01-13,1680.5
2023-01-14,1450.8
2023-01-15,1420.1
2023-01-16,1700.4
2023-01-17,1720.6
2023-01-18,1750.2
2023-01-19,1780.7
2023-01-20,1800.3
2023-01-21,1500.5
2023-01-22,1480.2
2023-01-23,1820.8
2023-01-24,1850.4
2023-01-25,1880.6
2023-01-26,1900.2
2023-01-27,1550.7
2023-01-28,1520.3
2023-01-29,1500.8
2023-01-30,1950.4
2023-01-31,1980.6 
